character,dialogue,episode
LISA,I don't want your blood money!,7F07   BART VS THANKSGIVING
BART,How'd you know?,7F07   BART VS THANKSGIVING
HOMER,Marge! What the hell are you doing?,7F07   BART VS THANKSGIVING
MARGE,Homer! It's Bart! He's up on the roof!,7F07   BART VS THANKSGIVING
HOMER,I'm gonna kill him!,7F07   BART VS THANKSGIVING
MARGE,"Shhhh! He and Lisa are making up. And if they don't fall and kill themselves, we might have a family again.",7F07   BART VS THANKSGIVING
LISA,The thing that really hurt was the laughter. Or I should say the sadistic glee.,7F07   BART VS THANKSGIVING
BART,"Lisa, how are you gonna grow up if you can't get used to people wrecking beautiful things?",7F07   BART VS THANKSGIVING
LISA,"Just answer one question. Why did you do it? Because you hate me, or because",7F07   BART VS THANKSGIVING
BART,I don't know! I don't know why I did it! I don't know why I enjoyed it! And I don't know why I'll do it again!,7F07   BART VS THANKSGIVING
LISA,"Okay. I'11 tell you what. Since you have yet to develop the first glimmer of a conscience at the age of ten, I think you should have an advisor...",7F07   BART VS THANKSGIVING
BART,"Like, whattaya mean?",7F07   BART VS THANKSGIVING
LISA,Someone who could tell you when you're going too far... like Jiminy Cricket did for Pinocchio.,7F07   BART VS THANKSGIVING
BART,"Yeah, well I don't happen to have a little cartoon character telling me right from wrong.",7F07   BART VS THANKSGIVING
LISA,"No, but you have me.",7F07   BART VS THANKSGIVING
BART,"Boy, you really take advantage of a situation.",7F07   BART VS THANKSGIVING
HOMER,"You know, we're great parents!",7F07   BART VS THANKSGIVING
HOMER,"O Lord, on this blessed day, we thank thee for giving our family one more crack at togetherness. Amen. Everyone starts NOISILY wolfing down their sandwiches.",7F07   BART VS THANKSGIVING
BART,Hey everybody! Cranberry sauce! Right here! Help yourself! Marge takes a bottle over to Maggie.,7F07   BART VS THANKSGIVING
MARGE,"Ready, Maggie? One... two... three! In one smooth motion, Marge yanks the pacifier out of Maggie's mouth and replaces it with the bottle. Maggie doesn't miss a SUCK.",7F07   BART VS THANKSGIVING
BART,Lisa. What about this? Funny,7F07   BART VS THANKSGIVING
LISA,Funny. Y'sure? a,7F07   BART VS THANKSGIVING
LISA,Yes.,7F07   BART VS THANKSGIVING
LISA,"Hey, I call the wishbone! She pulls it out of the turkey carcass.",7F07   BART VS THANKSGIVING
BART,I call other endsies! He grabs the other end.,7F07   BART VS THANKSGIVING
LISA,"If we both wish for the same thing, then it's sure to happen. l",7F07   BART VS THANKSGIVING
MARGE,Why don't you both wish for a happy family?,7F07   BART VS THANKSGIVING
BART,Okay... I,7F07   BART VS THANKSGIVING
HOMER,"Oh, well.",7F07   BART VS THANKSGIVING
LISA,pee eiaek vo Siew we eee YEARDLEY SMITH,7F08   DEAD PUTTING SOCIETY
HOMER,sweats and GRUMBLES as he mows the lawn with a push mower. MARGE waters the patio plants.,7F08   DEAD PUTTING SOCIETY
HOMER,Bust my hump all week... stupid grass... This is supposed to be the boy's job.,7F08   DEAD PUTTING SOCIETY
MARGE,"Now, now, Homer. Bart's busy working on his science project.",7F08   DEAD PUTTING SOCIETY
BART,pokes his head out of his bedroom window.,7F08   DEAD PUTTING SOCIETY
BART,"You heard the lady, Homer.",7F08   DEAD PUTTING SOCIETY
BART,So please mow quietly. Genius at work.,7F08   DEAD PUTTING SOCIETY
HOMER,"I'll mow you,",7F08   DEAD PUTTING SOCIETY
HOMER,"What's the point of having kids if you can't make 'em do the lousy chores? Marge MUTTERS something and goes into the house. As Homer continues mowing, his next-door neighbor, NED FLANDERS, appears and begins filling his birdhouse trough with seed. A collection of beautifully feathered birds immediately begin to feed.",7F08   DEAD PUTTING SOCIETY
NED FLANDERS,"Hey there, neighbor! The Lord's certainly given us a beautiful day today.",7F08   DEAD PUTTING SOCIETY
HOMER,"H'lo, Flanders.",7F08   DEAD PUTTING SOCIETY
NED FLANDERS,"Doing a little yardwork, eh?",7F08   DEAD PUTTING SOCIETY
HOMER,Who told? (CALLING TO MARGE) Marge! Could you bring me a,7F08   DEAD PUTTING SOCIETY
NED FLANDERS,"Say Simpson, I've got a spray that'll get rid of that crabgrass ina jif",7F08   DEAD PUTTING SOCIETY
HOMER,Crabgrass? What are you talking about? Where?,7F08   DEAD PUTTING SOCIETY
NED FLANDERS,"Well,  there... there... there... there's a big patch over there. Practically your entire front yard.",7F08   DEAD PUTTING SOCIETY
HOMER,"Hey, there's nothing wrong with crabgrass! It just has a bad name. Everyone would love it if it had a cute name like... uh... elfgrass.",7F08   DEAD PUTTING SOCIETY
NED FLANDERS,You may be right!,7F08   DEAD PUTTING SOCIETY
HOMER,Marge! Where's the Duff?,7F08   DEAD PUTTING SOCIETY
MARGE,"We're all out, Homer. Homer GRUNTS.",7F08   DEAD PUTTING SOCIETY
HOMER,Did you check the vegetable bin?,7F08   DEAD PUTTING SOCIETY
MARGE,"I checked, Homer.",7F08   DEAD PUTTING SOCIETY
MARGE,Would you like some fruit juice?,7F08   DEAD PUTTING SOCIETY
HOMER,"Don't mess with me, woman.",7F08   DEAD PUTTING SOCIETY
NED FLANDERS,"Couldn't help overhearing, Simpson. I've got some ice cold brew in the rumpus room, if you'd like to join me.",7F08   DEAD PUTTING SOCIETY
HOMER,"Well, uh, I guess that would be okay.",7F08   DEAD PUTTING SOCIETY
NED FLANDERS,Tee-rific! Suds ahoy!,7F08   DEAD PUTTING SOCIETY
HOMER,"Holy moly! Bumper pool, foosball, carpeting! This looks like the rumpus at the Taj Mahal.",7F08   DEAD PUTTING SOCIETY
NED FLANDERS,"Say, that's right. This is your first visit to the Flanders homestead.",7F08   DEAD PUTTING SOCIETY
HOMER,"Well, we've only been neighbors, uh, eight years.",7F08   DEAD PUTTING SOCIETY
NED FLANDERS,There's my little Popcorn Ball.,7F08   DEAD PUTTING SOCIETY
MAUDE,"Hello, Sponge Cake. They hug.",7F08   DEAD PUTTING SOCIETY
NED FLANDERS,"Forgive me, Simpson. I haven't seen my wife in several minutes.",7F08   DEAD PUTTING SOCIETY
MAUDE,"I thought you boys might be hungry, so I fixed you some club sandwiches.",7F08   DEAD PUTTING SOCIETY
HOMER,Geez. Toothpicks.,7F08   DEAD PUTTING SOCIETY
NED FLANDERS,"Isn't she wonderful, Simpson?",7F08   DEAD PUTTING SOCIETY
HOMER,"Yeah, but aren't we forgetting something, Flanders?",7F08   DEAD PUTTING SOCIETY
NED FLANDERS,"Oh, your beer. Is draft okay? Just put in the tap last week. Homer takes a big bite out of a club sandwich as Flanders takes a big stein labelled ""Macho Mug"" from his collection of steins and draws Homer a draft.",7F08   DEAD PUTTING SOCIETY
NED FLANDERS,"This is a tasty little lager called ""Van Alstein"".",7F08   DEAD PUTTING SOCIETY
HOMER,Never heard of it.,7F08   DEAD PUTTING SOCIETY
NED FLANDERS,It's imported all the way from Holland.,7F08   DEAD PUTTING SOCIETY
HOMER,"Well, beggars can't be choosers. Homer chugs down the glass of beer and then BURPS. The Flander's wholesome young son TODD enters. Todd is carrying a model of the double helix.",7F08   DEAD PUTTING SOCIETY
TODD,"Hey, Dad, thanks for helping me with my",7F08   DEAD PUTTING SOCIETY
NED FLANDERS,"My pleasure, Study Buddy.",7F08   DEAD PUTTING SOCIETY
TODD,"To show my appreciation, I'm gonna give the lawn a quick mow.",7F08   DEAD PUTTING SOCIETY
NED FLANDERS,"Why, you don't have to do that, son.",7F08   DEAD PUTTING SOCIETY
TODD,"I know, but I want to. You're the best Dad in the whole world. Homer watches all this with wide-eyed amazement.",7F08   DEAD PUTTING SOCIETY
NED FLANDERS,"Now, you know how that embarrasses me. Todd exits.",7F08   DEAD PUTTING SOCIETY
NED FLANDERS,Kids can be a trial sometimes.,7F08   DEAD PUTTING SOCIETY
HOMER,"All right, knock it off!",7F08   DEAD PUTTING SOCIETY
HOMER,You've been rubbing my nose in it since I got here. Your family is better than my family. Your beer comes from farther away than my beer. You and your son like each other. Your wife's butt is higher than my wife's butt. You make me sick!,7F08   DEAD PUTTING SOCIETY
NED FLANDERS,"Simpson, I'm afraid I'm going to have to ask you to leave. I hope you understand.",7F08   DEAD PUTTING SOCIETY
HOMER,I wouldn't stay on a bet!,7F08   DEAD PUTTING SOCIETY
MARGE,"Homer, quit tossing.",7F08   DEAD PUTTING SOCIETY
HOMER,"Sorry, Marge. It's just that I'm still steamed up about that jerk Flanders. Lousy... bragging... know- it-all... show-off...",7F08   DEAD PUTTING SOCIETY
HOMER,"Get this. He said... well... okay, look, I don't have a legal transcript, but it wasn't so much what he said, it was how he said it!",7F08   DEAD PUTTING SOCIETY
MARGE,"Well, how did he say it? Was he angry? Was he rude?",7F08   DEAD PUTTING SOCIETY
HOMER,"Okay, okay. It wasn't how he said it either, but the message was loud and clear... We stink!",7F08   DEAD PUTTING SOCIETY
MARGE,"Homer, as your best friend, I've seen you bad-mouth Ned Flanders for years and, frankly, I've never seen him be anything but a perfect neighbor.",7F08   DEAD PUTTING SOCIETY
HOMER,"Oh, he's perfect now, is he?",7F08   DEAD PUTTING SOCIETY
MARGE,"Well, he's not perfect, but he is very nice.",7F08   DEAD PUTTING SOCIETY
HOMER,"No, no, Marge. Don't backpedal. You were right the first time. He's perfect. Perfect in every way.",7F08   DEAD PUTTING SOCIETY
HOMER,I'm just gonna go take a walk around the block to calm down. I got a little excited.  I'm not perfect.,7F08   DEAD PUTTING SOCIETY
MAUDE,"Ned, you're tossing. What's the matter?",7F08   DEAD PUTTING SOCIETY
NED FLANDERS,I feel terrible. I forget that we do have things better than the Simpsons. I have him over. He has a few beers. You can't blame him for erupting. And what do I do? I turn into a snarling beast. Talk about flunking turn-the- other-cheek!,7F08   DEAD PUTTING SOCIETY
MAUDE,"Well, Ned, I do have some thoughts on this but maybe I'm not the one you should be talking to.",7F08   DEAD PUTTING SOCIETY
LOVEJOY,"No, this is Mrs. Lovejoy. Just a minute.  Honey, honey, wake up. It sounds like Ned Flanders is having some sort of crisis.",7F08   DEAD PUTTING SOCIETY
LOVEJOY,"Probably stepped on a worm. (INTO PHONE) Hello, Ned.",7F08   DEAD PUTTING SOCIETY
NED FLANDERS,"Reverend, I'm sorry to bother you at this hour but I'm troubled. I threw a man out of my house today.",7F08   DEAD PUTTING SOCIETY
NED FLANDERS,I feel like I've violated,7F08   DEAD PUTTING SOCIETY
LOVEJOY,Huh?,7F08   DEAD PUTTING SOCIETY
NED FLANDERS,"""Love thy neighbor.""",7F08   DEAD PUTTING SOCIETY
LOVEJOY,"Oh. Right, right.",7F08   DEAD PUTTING SOCIETY
NED FLANDERS,Could I come over so we can discuss it more fully?,7F08   DEAD PUTTING SOCIETY
LOVEJOY,"Ned, you'll be seeing me at church in six hours. However, since you seem so troubled, it might help to share your feelings with the man you offended.",7F08   DEAD PUTTING SOCIETY
NED FLANDERS,Good idea. I'11 call him right now.,7F08   DEAD PUTTING SOCIETY
LOVEJOY,"Unless you're a big contributor to his rectory fund, may I suggest you write him a letter?",7F08   DEAD PUTTING SOCIETY
NED FLANDERS,"That is a jim-dandy idea! Bless you, Reverend.",7F08   DEAD PUTTING SOCIETY
NED FLANDERS,"""Dear Neighbor... """,7F08   DEAD PUTTING SOCIETY
NIGHT,"Flanders, in bathrobe and slippers, approaches the front door holding a letter. As he stoops to slip it in the mail slot, Homer, also in his robe and slippers, steps up behind him.",7F08   DEAD PUTTING SOCIETY
HOMER,Flanders! Flanders SCREAMS.,7F08   DEAD PUTTING SOCIETY
HOMER,What are you doing?,7F08   DEAD PUTTING SOCIETY
NED FLANDERS,"I don't blame you for being upset with me, Homer. I just wanted to give you this letter. I'll leave now.",7F08   DEAD PUTTING SOCIETY
HOMER,"Yeah, you do that. Flanders hurries away.",7F08   DEAD PUTTING SOCIETY
HOMER,Spy... peeping Tom... trespassing burglar.,7F08   DEAD PUTTING SOCIETY
HOMER,"""Dear neighbor... Homer starts to CHUCKLE.",7F08   DEAD PUTTING SOCIETY
HOMER,"""... You are my brother. I love you. We are not on this earth to live up to each other's expectations, and yet I feel a great sadness in my boson."" Everyone but Marge really CRACKS UP at the word ""bosom.""",7F08   DEAD PUTTING SOCIETY
MARGE,I think it's terrible. A man opens his heart and you make fun of him. Marge leaves the roon.,7F08   DEAD PUTTING SOCIETY
HOMER,"""... Let us not be neighbors because of a shared property line. Let us be neighbors because of common respect and affection for each other. Neighbors forever, Ned Flanders.""",7F08   DEAD PUTTING SOCIETY
BART,What a sap!,7F08   DEAD PUTTING SOCIETY
LISA,"Read the bosom part again, Dad.",7F08   DEAD PUTTING SOCIETY
MARGE,"Now, just a minute. There are some things about the Flanders family that I wish we had around this house.",7F08   DEAD PUTTING SOCIETY
HOMER,What besides beer?,7F08   DEAD PUTTING SOCIETY
MARGE,They're a very close-knit family.,7F08   DEAD PUTTING SOCIETY
HOMER,"You know, she's absolutely right! Today we're gonna do something and blow them right out of the water togetherness-wise! What does everyone",7F08   DEAD PUTTING SOCIETY
MARGE,"Well, I was going to wash my hair.",7F08   DEAD PUTTING SOCIETY
LISA,"And I'm studying for the Math Fair. If I win one of the awards, I'll bring home a brand new protractor.",7F08   DEAD PUTTING SOCIETY
HOMER,"Too bad we don't live on a farm. (TO BART) That just leaves you, me, and the baby. Let's go, boy. Homer picks up Maggie as he and Bart exit.",7F08   DEAD PUTTING SOCIETY
BART,"Here we are! Ever play before, Homer?",7F08   DEAD PUTTING SOCIETY
HOMER,Are you kidding? I've played miniature golf for years! I got a hole in one once.,7F08   DEAD PUTTING SOCIETY
HOMER,"Okay, boy, here we go. Fore! Homer hits the ball. It goes through the alligator's legs",7F08   DEAD PUTTING SOCIETY
HOMER,But I got it in the middle! A car drives by and knocks Homer's ball down the highway.,7F08   DEAD PUTTING SOCIETY
NED FLANDERS,"Hey, there's Homer Simpson! What a perfect opportunity to follow up on my letter.",7F08   DEAD PUTTING SOCIETY
BART,"Give up, Homer. There's a six-stroke",7F08   DEAD PUTTING SOCIETY
HOMER,"I know, I know. I can still make this for a five.  Come on, baby, pleeze go in. Please let me beat the boy. Homer's shot bonks oft the gorilla's face and rolls back down the ramp, hitting Homer's putter with a delicate PING. Bart LAUGHS. Homer throws down his club.",7F08   DEAD PUTTING SOCIETY
HOMER,"Stupid over-educated baboon... At this moment, the Flanders approach.",7F08   DEAD PUTTING SOCIETY
HOMER,Flanders! What are you doing here?,7F08   DEAD PUTTING SOCIETY
NED FLANDERS,Just playing a little mini-golf with the Todd-meister.,7F08   DEAD PUTTING SOCIETY
TODD,"Hi, Bart!",7F08   DEAD PUTTING SOCIETY
BART,"Hi, Todd.",7F08   DEAD PUTTING SOCIETY
NED FLANDERS,"Say, now that we're all friends again, why don't we make a foursome?",7F08   DEAD PUTTING SOCIETY
NED FLANDERS,"All right! This will be fun! Say, looked like you were having a little trouble there?",7F08   DEAD PUTTING SOCIETY
HOMER,That shot is impossible! Jack Nicholson himself couldn't make it.,7F08   DEAD PUTTING SOCIETY
TODD,"It is difficult, Mr. Simpson. The best strategy is to play conservatively. Hug the rail. It won't go in, but you set yourself up for an easy deuce.",7F08   DEAD PUTTING SOCIETY
TODD,"Oh, well, it went in. Good shot, Todd!  Doesn't it give you a kick when your kid beats you at something?",7F08   DEAD PUTTING SOCIETY
HOMER,"Yeah, it's the greatest. (ASIDE TO BART) Luck.",7F08   DEAD PUTTING SOCIETY
BART,"let's see, six plus six plus six plus six plus six...",7F08   DEAD PUTTING SOCIETY
HOMER,Never mind!,7F08   DEAD PUTTING SOCIETY
TODD,"Hey, look! They turn and see a sign whichs reads: Sir Putt-A-Lot's 1st Annual",7F08   DEAD PUTTING SOCIETY
TODD,"Wow! First prize, fifty dollars!",7F08   DEAD PUTTING SOCIETY
BART,"Wow! Third prize, five dollars!",7F08   DEAD PUTTING SOCIETY
HOMER,"Where'd you come up with an attitude like that, boy? If the competition's weak and you get a few lucky putts, you could win this thing.",7F08   DEAD PUTTING SOCIETY
HOMER,"Yesh, he entering and what's more, he's going to win, aren't you, boy?",7F08   DEAD PUTTING SOCIETY
BART,"Yeah, I guess it's possible.",7F08   DEAD PUTTING SOCIETY
NED FLANDERS,"Hey, I like that confidence.",7F08   DEAD PUTTING SOCIETY
HOMER,"That's right! I have confidence, I have love. I think the fruit of my loins can beat the fruit of your loins any day of the week.",7F08   DEAD PUTTING SOCIETY
NED FLANDERS,"But Simpson, you know you may be putting a little too much pressure on the boy. My Todd's awfully good.",7F08   DEAD PUTTING SOCIETY
HOMER,"It's a simple act of faith between father and son, just as classy as any feelings you can have.",7F08   DEAD PUTTING SOCIETY
NED FLANDERS,"Well, just so long as they have fun.",7F08   DEAD PUTTING SOCIETY
HOMER,"""Just so long as they have fun."" I'd expect something like that out of you. Come on, boy. Bart dives into the trashcan, emerges with the Flanders scorecard. Todd's column shows eleven twos and seven ones, for a total of 29.",7F08   DEAD PUTTING SOCIETY
BART,"Homer, there's no way.",7F08   DEAD PUTTING SOCIETY
HOMER,"Bart, this is the only time I'm ever gonna say this to you. It is not okay to lose.",7F08   DEAD PUTTING SOCIETY
FADE,"From about a yard away, Bart attempts to putt a golf ball through Santa's Little Helper's legs into a small hole they've dug in the back yard. Homer is coaching.",7F08   DEAD PUTTING SOCIETY
HOMER,"Okay, boy, stay, stay. Good dog. Now, keep your head down. Santa's Little Helper lowers his head.",7F08   DEAD PUTTING SOCIETY
HOMER,"No, not you. I'm talking to the boy. Keep your head down. Follow through... Bart misses the shot.",7F08   DEAD PUTTING SOCIETY
HOMER,"Okay, that didn't work. This time move your head. Don't follow through.",7F08   DEAD PUTTING SOCIETY
BART,"Homer, it's hopeless.",7F08   DEAD PUTTING SOCIETY
HOMER,"That's no attitude. What if Columbus had said, ""it's hopeless""? We'd be playing miniature golf on some crummy",7F08   DEAD PUTTING SOCIETY
NED FLANDERS,"Practice-practice-practice, eh?",7F08   DEAD PUTTING SOCIETY
HOMER,Yeah. And my kid is gonna beat the crap-crap-crap out of your kid.,7F08   DEAD PUTTING SOCIETY
NED FLANDERS,Funny-funny-funny.,7F08   DEAD PUTTING SOCIETY
HOMER,"Show him how a winner does it, Bart. Bart is visibly nervous. He hits the short putt so hard it flies across the yard, shattering one of the Simpsons' lawn gnome.",7F08   DEAD PUTTING SOCIETY
NED FLANDERS,Nice firm stroke.,7F08   DEAD PUTTING SOCIETY
HOMER,"Uh, good shot, Bart! You hit the gnome just like I told you to, in a voice too small for anyone else to hear. Let's practice inside for a while. Bart is still gripping the club as Homer leads him away.",7F08   DEAD PUTTING SOCIETY
HOMER,"What're you doing? That putter is to you what a bat is toa baseball player, what a hockey stick is to a hockey player, what a violin is to a... violin guy. Now, c'mon, give your putter a name.",7F08   DEAD PUTTING SOCIETY
BART,What?,7F08   DEAD PUTTING SOCIETY
HOMER,"Come on, give it a name.",7F08   DEAD PUTTING SOCIETY
BART,Mr. Putter.,7F08   DEAD PUTTING SOCIETY
HOMER,"Do you wanna try a little harder, son? Come on, give it a good name.",7F08   DEAD PUTTING SOCIETY
BART,Homer?,7F08   DEAD PUTTING SOCIETY
HOMER,"No, no, a girl's name.",7F08   DEAD PUTTING SOCIETY
BART,Mom?,7F08   DEAD PUTTING SOCIETY
HOMER,Your putter's name is Charlene!,7F08   DEAD PUTTING SOCIETY
HOMER,It just is.,7F08   DEAD PUTTING SOCIETY
HOMER,"Now, this is a picture of your enemy, Todd Flanders. Every day I want you to spend fifteen minutes staring at it and concentrating on how much you hate him and how glorious it will be when you and Charlene kick his butt.",7F08   DEAD PUTTING SOCIETY
BART,Who's Charlene? Homer picks up the putter and brandishes it.,7F08   DEAD PUTTING SOCIETY
HOMER,"I'1l show you who Charlene is! Now start hating! Homer exits. Bart stares at the picture for several beats, then sighs and looks out the window. He sees Todd looking at him from inside his own bedroom, smiling and waving.",7F08   DEAD PUTTING SOCIETY
TODD,"Hi, Bart.",7F08   DEAD PUTTING SOCIETY
DAY,Marge is in the kitchen. Homer enters.,7F08   DEAD PUTTING SOCIETY
MARGE,"Homer, I couldn't help overhearing you warp Bart's mind.",7F08   DEAD PUTTING SOCIETY
MARGE,"Well, I'm worried that you're making too big a deal of this silly little kiddie golf tournament.",7F08   DEAD PUTTING SOCIETY
HOMER,"But, Marge, this is our big chance to show up the Flanderses.",7F08   DEAD PUTTING SOCIETY
MARGE,"Well, I'm sure it is, but why do we want to do that?",7F08   DEAD PUTTING SOCIETY
HOMER,Because sometimes the only way you can feel good about yourself is by making someone else look bad.  And I'm tired of making other people feel good about themselves.,7F08   DEAD PUTTING SOCIETY
DAY,"Bart is looking at his modest collection of tiny trophies and brown, yellow and gray ribbons reading ""Bart Simpson, 4th Place"", ""Honorable Mention"", ""Participant"", ""6TH"", ""Everybody Gets A Trophy Day"". Lisa enters.",7F08   DEAD PUTTING SOCIETY
LISA,"Hi, Bart. What're you doing?",7F08   DEAD PUTTING SOCIETY
BART,Reliving past triumphs. What do you call those guys in chess that don't,7F08   DEAD PUTTING SOCIETY
LISA,"Well, a blockaded bishop can be of little or no value, but I think you're referring to a pawn.",7F08   DEAD PUTTING SOCIETY
BART,"Well, you're looking at one of those.",7F08   DEAD PUTTING SOCIETY
LISA,"I know. It's times like this that I'm thankful Dad has little to no interest in almost everything I do. Bart, I think I can help you.",7F08   DEAD PUTTING SOCIETY
BART,What do you know about miniature golf?,7F08   DEAD PUTTING SOCIETY
LISA,"I know that, like any other game, it's ten percent skill and ninety percent will. Come with me, Bart.",7F08   DEAD PUTTING SOCIETY
BART,Well... Okay. What have I,7F08   DEAD PUTTING SOCIETY
LISA,Leave the putter. You won't be needing,7F08   DEAD PUTTING SOCIETY
BART,"Hey, man, this is the library! What are we doing here?",7F08   DEAD PUTTING SOCIETY
LISA,There are books here that can make you a champion.,7F08   DEAD PUTTING SOCIETY
BART,But I didn't bring any money.,7F08   DEAD PUTTING SOCIETY
LISA,"It's free, Bart.",7F08   DEAD PUTTING SOCIETY
MAN,"Hi, Lisa.",7F08   DEAD PUTTING SOCIETY
LISA,"Hey, Ralph.",7F08   DEAD PUTTING SOCIETY
LISA,"Hey, gang.  Okay, Bart, this is the card catalog.",7F08   DEAD PUTTING SOCIETY
PAGE,29.,7F08   DEAD PUTTING SOCIETY
LISA,"Let's see, ""golf""... Anecdotes, fashion, history, humor... ah, here it is. Putting.",7F08   DEAD PUTTING SOCIETY
LISA,"Ah, here's the most important book of all, The Tao Te Ching by Lao Tzu.",7F08   DEAD PUTTING SOCIETY
BART,"Okay, that's it! Now I know you're just pulling my chain.",7F08   DEAD PUTTING SOCIETY
LISA,First timer.,7F08   DEAD PUTTING SOCIETY
LISA,"The left brain is logical, the right brain emotional and artistic. Success at any sport requires a partnership of the two halves. Each of us must do the work of one half the brain.",7F08   DEAD PUTTING SOCIETY
BART,So which half am I?,7F08   DEAD PUTTING SOCIETY
LISA,The one in the leotard.,7F08   DEAD PUTTING SOCIETY
LISA,I want you to shut off the logical part of your mind.,7F08   DEAD PUTTING SOCIETY
BART,Okay.,7F08   DEAD PUTTING SOCIETY
LISA,Embrace nothingness.,7F08   DEAD PUTTING SOCIETY
BART,You got it.,7F08   DEAD PUTTING SOCIETY
LISA,Become like an uncarved stone.,7F08   DEAD PUTTING SOCIETY
LISA,Bart! You're just pretending to know what I'm talking about.,7F08   DEAD PUTTING SOCIETY
BART,True.,7F08   DEAD PUTTING SOCIETY
LISA,"Well, it's very frustrating.",7F08   DEAD PUTTING SOCIETY
BART,I'll bet.,7F08   DEAD PUTTING SOCIETY
LISA,"Bart, I have a riddle for you: What's the sound of one hand clapping?",7F08   DEAD PUTTING SOCIETY
BART,Easy.,7F08   DEAD PUTTING SOCIETY
LISA,"No, Bart. It's a three-thousand-year- old riddle with no answer.",7F08   DEAD PUTTING SOCIETY
BART,"What're you talking about? Hey, Lisa, listen up.",7F08   DEAD PUTTING SOCIETY
LISA,"Bart, the riddle is unsolvable. It's to clear your mind of conscious thought. Let's try another one. Listen carefully. If a tree falls in the woods and no one's around, does it make a sound?",7F08   DEAD PUTTING SOCIETY
BART,Absolutely. Eeeeeeeer! Crash! Boom!,7F08   DEAD PUTTING SOCIETY
LISA,Wait. How can a sound exist if there's no one there to hear it?,7F08   DEAD PUTTING SOCIETY
BART,Wooooo00cowwwww ! Lisa hands Bart the putter.,7F08   DEAD PUTTING SOCIETY
LISA,It is time.,7F08   DEAD PUTTING SOCIETY
LISA,The basis of this game seems to be simple geometry. All you have to do is,7F08   DEAD PUTTING SOCIETY
BART,"I can't believe it... You've actually found a practical use for geometry. They move on to another hole, which features a seated Abe Lincoln statue, like at the Lincoln Memorial. Every few seconds, Lincoln's legs swing out at the knee in a very unnatural way, allowing an opening to hit the ball through. Lisa whips out a stopwatch and times it.",7F08   DEAD PUTTING SOCIETY
LISA,"When his feet come together, wait five seconds and hit the ball.",7F08   DEAD PUTTING SOCIETY
BART,Okay. Onetwothree...,7F08   DEAD PUTTING SOCIETY
LISA,Slower.,7F08   DEAD PUTTING SOCIETY
BART,One... two...,7F08   DEAD PUTTING SOCIETY
LISA,"One Mississippi, two Mississippi...",7F08   DEAD PUTTING SOCIETY
BART,"OneMizzippi, twoMizzippi --",7F08   DEAD PUTTING SOCIETY
LISA,"Okay. Instead of counting, sing ""The Battle Hymn of the",7F08   DEAD PUTTING SOCIETY
BART,"“Glory, glory, hallelujah / Teacher hit me with a ruler / Met her at the door with a loaded forty-four / And she ain't my teacher no more."" Bart hits the shot, it goes right through Lincoln's legs.",7F08   DEAD PUTTING SOCIETY
LISA,Yaayy! They hug.,7F08   DEAD PUTTING SOCIETY
HOMER,Bart! What're you doing?,7F08   DEAD PUTTING SOCIETY
LISA,"He's practicing for the tournament,",7F08   DEAD PUTTING SOCIETY
HOMER,Practicing what? How to embarrass your father? Get down from there before the neighbors see --,7F08   DEAD PUTTING SOCIETY
NED FLANDERS,"Hey, Simpson. Flanders appears on the other side of the fence.",7F08   DEAD PUTTING SOCIETY
HOMER,"Flanders, I don't care what this looks like, Bart's gonna mop the floor with your son's ugly butt.",7F08   DEAD PUTTING SOCIETY
NED FLANDERS,"Well, may the best man win.",7F08   DEAD PUTTING SOCIETY
HOMER,"Ah, “may the best man win"". The mating call of the loser.",7F08   DEAD PUTTING SOCIETY
NED FLANDERS,"Now, just a minute, Simpson. I think my son has a very good chance.",7F08   DEAD PUTTING SOCIETY
HOMER,"Oh, yeah? You wanna bet?",7F08   DEAD PUTTING SOCIETY
NED FLANDERS,I'm not a betting man.,7F08   DEAD PUTTING SOCIETY
NED FLANDERS,"If that's supposed to mean I'ma chicken, you're barking up the wrong tree. How's this for a wager? A batch of your wife's delicious blueberry muffins against one of my wife's homemade wind chimes!",7F08   DEAD PUTTING SOCIETY
HOMER,What kinda stupid bet is that? Are you scared to make a real bet?,7F08   DEAD PUTTING SOCIETY
NED FLANDERS,"No, I just --",7F08   DEAD PUTTING SOCIETY
NED FLANDERS,"You know, Simpson, you're starting to annoy me.",7F08   DEAD PUTTING SOCIETY
HOMER,"How about this? If Bart wins tomorrow, you have to mow my lawn.",7F08   DEAD PUTTING SOCIETY
NED FLANDERS,"And if Todd wins, you have to mow your lawn! And do a decent job of it, for a change!",7F08   DEAD PUTTING SOCIETY
HOMER,"Better yet, you have to mow the lawn in",7F08   DEAD PUTTING SOCIETY
NED FLANDERS,"You have yourself a bet, you jackaninny!",7F08   DEAD PUTTING SOCIETY
HOMER,"Read that back to me, Marge.",7F08   DEAD PUTTING SOCIETY
MARGE,"""The father of the loser mows the lawn -- """,7F08   DEAD PUTTING SOCIETY
NED FLANDERS,"Just a minute. ""Loser"" is such a harsh word.",7F08   DEAD PUTTING SOCIETY
HOMER,You get used to it.,7F08   DEAD PUTTING SOCIETY
NED FLANDERS,"Couldn't we just say ""the father of the boy who doesn't win""?",7F08   DEAD PUTTING SOCIETY
HOMER,Fine.,7F08   DEAD PUTTING SOCIETY
